monetary_code	rate_as_float	date_as_iso
EUR	42132.7148	2021-09-05T11:12:00+00:00
USD	50068.4071	2021-09-05T11:12:00+00:00
GBP	36111.388	2021-09-05T11:12:00+00:00
EUR	42132.7148	2021-09-05T11:12:00+00:00
USD	50068.4071	2021-09-05T11:12:00+00:00
GBP	36111.388	2021-09-05T11:12:00+00:00
EUR	42132.7148	2021-09-05T11:12:00+00:00
USD	50066.105	2021-09-05T11:13:00+00:00
GBP	36109.7276	2021-09-05T11:13:00+00:00
EUR	42130.7776	2021-09-05T11:13:00+00:00
USD	50079.3681	2021-09-05T11:13:00+00:00
GBP	36119.2935	2021-09-05T11:13:00+00:00
EUR	42141.9385	2021-09-05T11:13:00+00:00
USD	50079.3681	2021-09-05T11:13:00+00:00
GBP	36119.2935	2021-09-05T11:13:00+00:00
EUR	42141.9385	2021-09-05T11:13:00+00:00
USD	50079.3681	2021-09-05T11:13:00+00:00
GBP	36119.2935	2021-09-05T11:13:00+00:00
EUR	42141.9385	2021-09-05T11:13:00+00:00
USD	50079.3681	2021-09-05T11:13:00+00:00
GBP	36119.2935	2021-09-05T11:13:00+00:00
EUR	42141.9385	2021-09-05T11:13:00+00:00
USD	50399.8916	2021-09-05T11:18:00+00:00
GBP	36350.4682	2021-09-05T11:18:00+00:00
EUR	42411.6599	2021-09-05T11:18:00+00:00
USD	50191.6567	2021-09-05T11:23:00+00:00
GBP	36200.2806	2021-09-05T11:23:00+00:00
EUR	42236.4297	2021-09-05T11:23:00+00:00
USD	49957.61	2021-09-05T11:27:00+00:00
GBP	36031.4766	2021-09-05T11:27:00+00:00
EUR	42039.4787	2021-09-05T11:27:00+00:00
USD	50001.7324	2021-09-05T11:28:00+00:00
GBP	36063.2995	2021-09-05T11:28:00+00:00
EUR	42076.6078	2021-09-05T11:28:00+00:00
USD	50160.7208	2021-09-05T11:33:00+00:00
GBP	36177.9684	2021-09-05T11:33:00+00:00
EUR	42210.397	2021-09-05T11:33:00+00:00
USD	50096.6501	2021-09-05T11:38:00+00:00
GBP	36131.758	2021-09-05T11:38:00+00:00
EUR	42156.4814	2021-09-05T11:38:00+00:00
USD	50209.2002	2021-09-05T11:43:00+00:00
GBP	36212.9337	2021-09-05T11:43:00+00:00
EUR	42251.1926	2021-09-05T11:43:00+00:00
USD	50148.1296	2021-09-05T11:48:00+00:00
GBP	36168.8871	2021-09-05T11:48:00+00:00
EUR	42199.8015	2021-09-05T11:48:00+00:00
USD	50197.4779	2021-09-05T11:53:00+00:00
GBP	36204.4792	2021-09-05T11:53:00+00:00
EUR	42241.3282	2021-09-05T11:53:00+00:00
USD	50190.8002	2021-09-05T11:58:00+00:00
GBP	36199.6629	2021-09-05T11:58:00+00:00
EUR	42235.7089	2021-09-05T11:58:00+00:00
USD	50197.319	2021-09-05T12:03:00+00:00
GBP	36204.3646	2021-09-05T12:03:00+00:00
EUR	42241.1946	2021-09-05T12:03:00+00:00
USD	50171.3351	2021-09-05T12:08:00+00:00
GBP	36185.6239	2021-09-05T12:08:00+00:00
EUR	42219.329	2021-09-05T12:08:00+00:00
USD	50219.6678	2021-09-05T12:13:00+00:00
GBP	36220.4834	2021-09-05T12:13:00+00:00
EUR	42260.0011	2021-09-05T12:13:00+00:00
USD	50248.1469	2021-09-05T12:18:00+00:00
GBP	36241.0237	2021-09-05T12:18:00+00:00
EUR	42283.9664	2021-09-05T12:18:00+00:00
USD	50238.2716	2021-09-05T12:23:00+00:00
GBP	36233.9013	2021-09-05T12:23:00+00:00
EUR	42275.6563	2021-09-05T12:23:00+00:00
USD	50170.4563	2021-09-05T12:28:00+00:00
GBP	36184.9901	2021-09-05T12:28:00+00:00
EUR	42218.5895	2021-09-05T12:28:00+00:00
USD	50202.7957	2021-09-05T12:33:00+00:00
GBP	36208.3146	2021-09-05T12:33:00+00:00
EUR	42245.8032	2021-09-05T12:33:00+00:00
USD	50175.125	2021-09-05T12:38:00+00:00
GBP	36188.3574	2021-09-05T12:38:00+00:00
EUR	42222.5182	2021-09-05T12:38:00+00:00
USD	50070.5657	2021-09-05T12:43:00+00:00
GBP	36112.9449	2021-09-05T12:43:00+00:00
EUR	42134.5313	2021-09-05T12:43:00+00:00
USD	50069.9288	2021-09-05T12:48:00+00:00
GBP	36112.4855	2021-09-05T12:48:00+00:00
EUR	42133.9953	2021-09-05T12:48:00+00:00
USD	50125.7211	2021-09-05T12:53:00+00:00
GBP	36152.7252	2021-09-05T12:53:00+00:00
EUR	42180.9446	2021-09-05T12:53:00+00:00
USD	50114.8034	2021-09-05T12:58:00+00:00
GBP	36144.8509	2021-09-05T12:58:00+00:00
EUR	42171.7574	2021-09-05T12:58:00+00:00
USD	50153.3708	2021-09-05T13:03:00+00:00
GBP	36172.6673	2021-09-05T13:03:00+00:00
EUR	42204.212	2021-09-05T13:03:00+00:00
USD	50087.9627	2021-09-05T13:08:00+00:00
GBP	36125.4923	2021-09-05T13:08:00+00:00
EUR	42149.1708	2021-09-05T13:08:00+00:00
USD	50097.0078	2021-09-05T13:13:00+00:00
GBP	36132.016	2021-09-05T13:13:00+00:00
EUR	42156.7824	2021-09-05T13:13:00+00:00
USD	50093.8919	2021-09-05T13:18:00+00:00
GBP	36129.7687	2021-09-05T13:18:00+00:00
EUR	42154.1603	2021-09-05T13:18:00+00:00
USD	50090.4116	2021-09-05T13:23:00+00:00
GBP	36127.2585	2021-09-05T13:23:00+00:00
EUR	42151.2316	2021-09-05T13:23:00+00:00
USD	50116.0163	2021-09-05T13:28:00+00:00
GBP	36145.7257	2021-09-05T13:28:00+00:00
EUR	42172.778	2021-09-05T13:28:00+00:00
USD	50186.564	2021-09-05T13:33:00+00:00
GBP	36196.6076	2021-09-05T13:33:00+00:00
EUR	42232.1442	2021-09-05T13:33:00+00:00
USD	50182.3197	2021-09-05T13:38:00+00:00
GBP	36193.5464	2021-09-05T13:38:00+00:00
EUR	42228.5726	2021-09-05T13:38:00+00:00
USD	50218.5337	2021-09-05T13:43:00+00:00
GBP	36219.6654	2021-09-05T13:43:00+00:00
EUR	42259.0467	2021-09-05T13:43:00+00:00
USD	50263.063	2021-09-05T13:48:00+00:00
GBP	36251.7818	2021-09-05T13:48:00+00:00
EUR	42296.5183	2021-09-05T13:48:00+00:00
USD	50207.4675	2021-09-05T13:53:00+00:00
GBP	36211.6841	2021-09-05T13:53:00+00:00
EUR	42249.7345	2021-09-05T13:53:00+00:00
USD	50211.1546	2021-09-05T13:58:00+00:00
GBP	36214.3434	2021-09-05T13:58:00+00:00
EUR	42252.8373	2021-09-05T13:58:00+00:00
USD	50171.1963	2021-09-05T14:03:00+00:00
GBP	36185.5238	2021-09-05T14:03:00+00:00
EUR	42219.2122	2021-09-05T14:03:00+00:00
USD	50201.3974	2021-09-05T14:08:00+00:00
GBP	36207.306	2021-09-05T14:08:00+00:00
EUR	42244.6265	2021-09-05T14:08:00+00:00
USD	50359.1411	2021-09-05T14:13:00+00:00
GBP	36321.0773	2021-09-05T14:13:00+00:00
EUR	42377.3683	2021-09-05T14:13:00+00:00
USD	50293.1554	2021-09-05T14:18:00+00:00
GBP	36273.4857	2021-09-05T14:18:00+00:00
EUR	42321.8411	2021-09-05T14:18:00+00:00
USD	50430.3678	2021-09-05T14:23:00+00:00
GBP	36372.4489	2021-09-05T14:23:00+00:00
EUR	42437.3058	2021-09-05T14:23:00+00:00
USD	50452.9796	2021-09-05T14:28:00+00:00
GBP	36388.7575	2021-09-05T14:28:00+00:00
EUR	42456.3337	2021-09-05T14:28:00+00:00
USD	50442.2449	2021-09-05T14:33:00+00:00
GBP	36381.0151	2021-09-05T14:33:00+00:00
EUR	42447.3004	2021-09-05T14:33:00+00:00
